TITLE     = ""
VARIABLES = "X"
"Y"
ZONE T="SUCTION"
 STRANDID=0, SOLUTIONTIME=0
 I=61, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 0.000000000E+00 -2.300000042E-01
 7.834870368E-03 -2.050498128E-01
 2.024549060E-02 -1.820070744E-01
 3.543436155E-02 -1.606648862E-01
 5.242773890E-02 -1.407383084E-01
 6.992398202E-02 -1.212416217E-01
 8.864489198E-02 -1.029496118E-01
 1.088313982E-01 -8.623909205E-02
 1.299787015E-01 -7.079731673E-02
 1.520586014E-01 -5.671511218E-02
 1.750593930E-01 -4.416360334E-02
 1.989499032E-01 -3.346450627E-02
 2.235171944E-01 -2.434191108E-02
 2.485243976E-01 -1.648110151E-02
 2.740704119E-01 -1.081760228E-02
 3.000783920E-01 -7.597505581E-03
 3.262591958E-01 -6.397798192E-03
 3.524261117E-01 -7.324605715E-03
 3.784740865E-01 -1.015479863E-02
 4.041500986E-01 -1.522840559E-02
 4.292162061E-01 -2.285930514E-02
 4.537276030E-01 -3.223480284E-02
 4.776780903E-01 -4.298191145E-02
 5.010176897E-01 -5.501161143E-02
 5.236964822E-01 -6.824200600E-02
 5.456625819E-01 -8.258711547E-02
 5.668888092E-01 -9.795691818E-02
 5.874121785E-01 -1.142395064E-01
 6.072828174E-01 -1.313198507E-01
 6.265376210E-01 -1.491000056E-01
 6.451575160E-01 -1.675449908E-01
 6.631165743E-01 -1.866298020E-01
 6.803858876E-01 -2.063334584E-01
 6.969534159E-01 -2.266249359E-01
 7.128551006E-01 -2.474422604E-01
 7.281379104E-01 -2.687214613E-01
 7.428429127E-01 -2.904005647E-01
 7.570080757E-01 -3.124355674E-01
 7.706673741E-01 -3.347895145E-01
 7.838538289E-01 -3.574252725E-01
 7.966012955E-01 -3.803060651E-01
 8.089510202E-01 -4.034007788E-01
 8.209477067E-01 -4.266824722E-01
 8.326364756E-01 -4.501230419E-01
 8.440623879E-01 -4.736956656E-01
 8.552712798E-01 -4.973732531E-01
 8.663064241E-01 -5.211267471E-01
 8.771864176E-01 -5.449482799E-01
 8.878955245E-01 -5.688427687E-01
 8.984236121E-01 -5.928192735E-01
 9.088147879E-01 -6.168567538E-01
 9.191240072E-01 -6.409281492E-01
 9.292832017E-01 -6.650635600E-01
 9.391825199E-01 -6.893100739E-01
 9.487578869E-01 -7.136943936E-01
 9.580953717E-01 -7.381747365E-01
 9.673048854E-01 -7.626970410E-01
 9.765014052E-01 -7.872053385E-01
 9.857758880E-01 -8.116547465E-01
 9.943444729E-01 -8.363659978E-01
 1.000000000E+00 -8.621309400E-01
ZONE T="PRESSURE"
 STRANDID=0, SOLUTIONTIME=0
 I=66, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 0.000000000E+00 -2.299999893E-01
 5.101609975E-03 -2.510752380E-01
 1.302545983E-02 -2.661541402E-01
 2.530512027E-02 -2.769851983E-01
 4.166965932E-02 -2.846411169E-01
 6.096341088E-02 -2.873053849E-01
 8.089999855E-02 -2.867695391E-01
 1.006525978E-01 -2.858457863E-01
 1.201552972E-01 -2.851940095E-01
 1.396249980E-01 -2.846571505E-01
 1.591797024E-01 -2.842172682E-01
 1.787844002E-01 -2.840652764E-01
 1.983910948E-01 -2.844091952E-01
 2.179556936E-01 -2.854389250E-01
 2.374653965E-01 -2.871224582E-01
 2.569321096E-01 -2.892788947E-01
 2.763657868E-01 -2.917251885E-01
 2.957775891E-01 -2.942925394E-01
 3.151662946E-01 -2.969797552E-01
 3.345240057E-01 -2.999149859E-01
 3.538407981E-01 -3.032290637E-01
 3.730874956E-01 -3.070560396E-01
 3.921903074E-01 -3.115288317E-01
 4.110701978E-01 -3.167863786E-01
 4.296491146E-01 -3.229617178E-01
 4.478591979E-01 -3.301568329E-01
 4.831725955E-01 -3.471561372E-01
 5.003138781E-01 -3.566336334E-01
 5.171732903E-01 -3.665889204E-01
 5.338078141E-01 -3.769280612E-01
 5.501903296E-01 -3.876670897E-01
 5.662419796E-01 -3.988851011E-01
 5.818936825E-01 -4.106468856E-01
 5.971795917E-01 -4.228855073E-01
 6.122043729E-01 -4.354480803E-01
 6.270033717E-01 -4.482735693E-01
 6.415535212E-01 -4.613780677E-01
 6.558285952E-01 -4.747813940E-01
 6.697968245E-01 -4.885036945E-01
 6.834210753E-01 -5.025658011E-01
 6.967015266E-01 -5.169538856E-01
 7.224463820E-01 -5.464728475E-01
 7.350090742E-01 -5.614977479E-01
 7.473816872E-01 -5.766796470E-01
 7.595593929E-01 -5.920164585E-01
 7.715380788E-01 -6.075072885E-01
 7.833148837E-01 -6.231509447E-01
 7.948887944E-01 -6.389458179E-01
 8.062697053E-01 -6.548804045E-01
 8.174787164E-01 -6.709371209E-01
 8.285316229E-01 -6.871007085E-01
 8.394485712E-01 -7.033542991E-01
 8.502177000E-01 -7.197048068E-01
 8.607928753E-01 -7.361873388E-01
 8.711981177E-01 -7.527838349E-01
 8.816581964E-01 -7.693263292E-01
 8.923522830E-01 -7.856818438E-01
 9.030312896E-01 -8.020504117E-01
 9.132956266E-01 -8.187528253E-01
 9.227820039E-01 -8.360811472E-01
 9.319775105E-01 -8.536382914E-01
 9.422156811E-01 -8.703498244E-01
 9.548652768E-01 -8.851088285E-01
 9.864286780E-01 -8.971484900E-01
 9.965069890E-01 -8.834092021E-01
 1.000000000E+00 -8.621309400E-01
